Updated On,Total Doses Administered
08/03/2021,886175.0
09/03/2021,740389.0
10/03/2021,781210.0
11/03/2021,789453.0
12/03/2021,837831.0
13/03/2021,881112.0
14/03/2021,881921.0
15/03/2021,955901.0
16/03/2021,1234075.0
17/03/2021,1380960.0
18/03/2021,1472043.0
19/03/2021,1569131.0
20/03/2021,1681001.0
21/03/2021,1689691.0
22/03/2021,1803338.0
23/03/2021,1939162.0
24/03/2021,2062333.0
25/03/2021,2211652.0
26/03/2021,2320613.0
27/03/2021,2451110.0
28/03/2021,2461015.0
29/03/2021,2527121.0
30/03/2021,2621769.0
31/03/2021,2725169.0
01/04/2021,2825721.0
02/04/2021,2898547.0
03/04/2021,2986837.0
04/04/2021,3047568.0
05/04/2021,3142814.0
06/04/2021,3207917.0
07/04/2021,3352010.0
08/04/2021,3496367.0
09/04/2021,3571106.0
10/04/2021,3803237.0
11/04/2021,3892459.0
12/04/2021,3913669.0
13/04/2021,3918519.0
14/04/2021,4558756.0
15/04/2021,4597442.0
16/04/2021,4603722.0
17/04/2021,4607860.0
18/04/2021,4613016.0
19/04/2021,4756582.0
20/04/2021,4927355.0
21/04/2021,4968449.0
22/04/2021,5327886.0
23/04/2021,5554779.0
24/04/2021,5669867.0
25/04/2021,5678642.0
26/04/2021,5986083.0
27/04/2021,6177693.0
28/04/2021,6281949.0
29/04/2021,6353841.0
30/04/2021,6579034.0
01/05/2021,6694297.0
02/05/2021,6696325.0
03/05/2021,6732767.0
04/05/2021,6748028.0
05/05/2021,6947225.0
06/05/2021,7140106.0
07/05/2021,7255219.0
08/05/2021,7410800.0
09/05/2021,7425692.0
10/05/2021,7427778.0
11/05/2021,7463899.0
12/05/2021,7504394.0
13/05/2021,7551945.0
14/05/2021,7570886.0
15/05/2021,7651927.0
16/05/2021,7664356.0
17/05/2021,7731254.0
18/05/2021,7799705.0
19/05/2021,7835404.0
20/05/2021,7858242.0
21/05/2021,7893522.0
22/05/2021,7912356.0
23/05/2021,7916347.0
24/05/2021,8024687.0
25/05/2021,8166313.0
26/05/2021,8461498.0
27/05/2021,9041673.0
28/05/2021,9489396.0
29/05/2021,9756270.0
30/05/2021,9772924.0
31/05/2021,9868747.0
01/06/2021,10083415.0
02/06/2021,10243842.0
03/06/2021,10341301.0
04/06/2021,10708410.0
05/06/2021,10803822.0
06/06/2021,10869971.0
07/06/2021,11013621.0
08/06/2021,11059995.0
09/06/2021,11234803.0
10/06/2021,11496440.0
11/06/2021,11696369.0
12/06/2021,11877129.0
13/06/2021,11958631.0
14/06/2021,12319387.0
15/06/2021,12406367.0
16/06/2021,12439899.0
17/06/2021,12462701.0
18/06/2021,12487466.0
19/06/2021,12503233.0
20/06/2021,13940560.0
21/06/2021,14011163.0
22/06/2021,14058162.0
23/06/2021,14091954.0
24/06/2021,14404310.0
25/06/2021,14525647.0
26/06/2021,14827546.0
27/06/2021,14868799.0
28/06/2021,15094679.0
29/06/2021,15389049.0
30/06/2021,15703354.0
01/07/2021,15985323.0
02/07/2021,16331596.0
03/07/2021,16441282.0
04/07/2021,16459822.0
05/07/2021,16582123.0
06/07/2021,16633924.0
07/07/2021,
08/07/2021,
09/07/2021,
10/07/2021,
11/07/2021,
12/07/2021,
13/07/2021,
14/07/2021,
15/07/2021,
16/01/2021,81.0
17/01/2021,178.0
18/01/2021,560.0
19/01/2021,574.0
20/01/2021,601.0
21/01/2021,1154.0
22/01/2021,1818.0
23/01/2021,2446.0
24/01/2021,2529.0
25/01/2021,3442.0
26/01/2021,3462.0
27/01/2021,3998.0
28/01/2021,5470.0
29/01/2021,6106.0
30/01/2021,6491.0
31/01/2021,6525.0
01/02/2021,6668.0
02/02/2021,6668.0
03/02/2021,6758.0
04/02/2021,7785.0
05/02/2021,8745.0
06/02/2021,9288.0
07/02/2021,9292.0
08/02/2021,10438.0
09/02/2021,10465.0
10/02/2021,10529.0
11/02/2021,11372.0
12/02/2021,12173.0
13/02/2021,13707.0
14/02/2021,13730.0
15/02/2021,17018.0
16/02/2021,17130.0
17/02/2021,17136.0
18/02/2021,20421.0
19/02/2021,23982.0
20/02/2021,24238.0
21/02/2021,24238.0
22/02/2021,26904.0
23/02/2021,28444.0
24/02/2021,28468.0
25/02/2021,31209.0
26/02/2021,32865.0
27/02/2021,32865.0
28/02/2021,32865.0
01/03/2021,32865.0
